Recording timestamp	Eye movement type index	Gaze event duration	Fixation point X	Fixation point Y	target	phone_x	phone_y
1469812.0	2068	140.0	954.0	328.0	floor		
1470162.0	2069	200.0	969.0	375.0	cell phone	0.40102081488517305	0.11826008318095325
1470462.0	2070	80.0	935.0	312.0	cell phone	0.6577703819530047	0.012522266795633353
1470861.0	2071	120.0	898.0	366.0	cell phone	0.6061810840197036	0.0680023262212805
1471021.0	2072	80.0	983.0	366.0	cell phone	0.6748785831578611	0.06653783837913714
1471141.0	2073	120.0	921.0	363.0	cell phone	0.4194751291748142	0.059112304355415875
1471311.0	2074	180.0	790.0	352.0	cell phone	0.4711864406779661	0.0049504950495049506
1471641.0	2075	280.0	895.0	380.0	cell phone	0.2509390780111747	0.06842365227810368
1472171.0	2076	220.0	963.0	368.0	cell phone	0.6165162829383736	0.06032975647265927
1472421.0	2077	160.0	1011.0	381.0	cell phone	0.7180363709074028	0.06606454602089806
1472591.0	2078	140.0	954.0	385.0	cell phone	0.7201565557729941	0.05930807248764415
1474141.0	2079	200.0	985.0	380.0	cell phone	0.7931889575580074	0.4626693335514323
1474691.0	2080	100.0	881.0	375.0	cell phone	0.3262482449722876	0.5259838840535142
1474860.0	2081	160.0	966.0	334.0	cell phone	0.5405933722872449	0.42574203311999137
1475640.0	2082	120.0	949.0	387.0	cell phone	0.6217425106711979	0.4582709070611308
1475880.0	2083	240.0	1023.0	393.0	cell phone	0.7612244897959184	0.4887640449438202
1476060.0	2084	80.0	980.0	408.0	cell phone	0.6599733371823533	0.5391839364813474
1476218.0	2085	180.0	963.0	397.0	cell phone	0.7501349421762863	0.5327316844048428
1476430.0	2086	220.0	982.0	384.0	cell phone	0.6502732240437158	0.5206043956043956
1476620.0	2087	120.0	969.0	373.0	cell phone	0.7325531468173965	0.526334664090744
1477020.0	2088	80.0	928.0	228.0	cell phone	0.6201378748474067	0.11537304094678162
1477180.0	2089	120.0	929.0	259.0	cell phone	0.5962101072349993	0.09561209591927476
1477480.0	2090	200.0	944.0	312.0	cell phone	0.45638943251301906	0.2024524450542317
1477660.0	2091	80.0	898.0	352.0	cell phone	0.5069164712710044	0.20915559309497747
1477800.0	2092	120.0	929.0	326.0	cell phone	0.5620803199513785	0.16557633496928856
1478170.0	2093	580.0	948.0	342.0	cell phone	0.5901461801739288	0.18692627621482824
1478750.0	2094	140.0	942.0	389.0	cell phone	0.4333247603054759	0.19163179046315879
